RespondentID	,	CollectorID	,	StartDate	,	EndDate	,	IP Address	,	Email Address	,	First Name	,	LastName	,	Custom Data	,	This course is using a flipped classroom approach in lecture, where we spend most of our lecture time on problem solving. How do you feel about this approach for this course?	,	Do you have any comments on the flipped approach?	,	How often do you do the readings or watch the videos BEFORE lecture?	,	How often do you do the readings or watch the videos EVENTUALLY?	,	How do you find the pace of the lecture?	,	Please describe something the instructor has done to help your learning in this course.	,	What is one thing we could change to help your learning in this course?                                                                                                                                                                                                                                                                                                                           
3536734534	,	59568092	,	10-23-2014	,	10-23-2014	,	206.87.172.219	,		,		,		,		,	Like somewhat	,	Not really sure how it is compared to the other way since I have never done CSC that way. I like it nonetheless though!	,	Never or almost never	,	More than half the time	,	A bit too fast	,	Going through problems.	,	I'm not sure. I just need better motivation.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
3536557540	,	59568092	,	10-23-2014	,	10-23-2014	,	96.50.72.38	,		,		,		,		,	Dislike strongly	,	The teacher always requires us to preview the textbook that has too much content and many details.  But the teacher have seldom mentioned these knowledge that in the textbook.	,	Always or nearly always	,	Always or nearly always	,	A bit too fast	,		,	I want teacher linked the textbook with the lecture since the knowledge in the textbook that I preview more than the knowledge in the lecture. The teacher require us to read more but she didn't teach us in the lecture. She could let us know something important in the textbook we should focus on.                                                                                                                                                                                                                                                                                                                                                                        
3536515128	,	59568092	,	10-22-2014	,	10-22-2014	,	206.87.181.246	,		,		,		,		,	Like strongly	,		,	Less than half the time	,	Less than half the time	,	A bit too slow	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
3536483792	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.160.31	,		,		,		,		,	Like somewhat	,		,	Less than half the time	,	Always or nearly always	,	About right	,	Assignments and class examples	,	practice midterms and finals                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
3536480954	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.150.146	,		,		,		,		,	Dislike somewhat	,		,	Less than half the time	,	More than half the time	,	A bit too fast	,	The labs are very helpful and the forum for asking questions is very helpful when studying.	,	I would like to learn the concepts during class along with the examples so our learning isn't purely based on reading the textbook and videos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
3536480686	,	59568092	,	10-22-2014	,	10-22-2014	,	207.81.136.33	,		,		,		,		,	Dislike somewhat	,	The instructor gives way too much time to solve a question	,	More than half the time	,	More than half the time	,	About right	,	Watching videos before class help understand more.  Solving problems together in class is good, but more questions should be done.	,	The way of giving the readings and the videos before lecture is very good and should keep it that way. However during lecture, you should go over what we are learning instead of going straight to solving questions                                                                                                                                                                                                                                                                                                                                                                                                                                               
3536472348	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.171.156	,		,		,		,		,	Like somewhat	,		,	Less than half the time	,	Less than half the time	,	About right	,	Every time we have the opportunity to ask questions when solving a problem, that's always very helpful.	,	A better sort of help-center for the course. When I went to try to get help with Assignment 3, nobody was there that could help, so it was just me and several other students working with our own knowledge to try and help each other.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3536470881	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.134.47	,		,		,		,		,	Like somewhat	,		,	Never or almost never	,	Never or almost never	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
3536381242	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.148.222	,		,		,		,		,	Dislike strongly	,		,	Always or nearly always	,	Always or nearly always	,	Way too fast	,	after each problem, walks around the class to ask every students questions	,	slower pace                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
3536307224	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.131.61	,		,		,		,		,	Like strongly	,	I really like it But some times I would like it if there was a little summary on it. As I see in videos how the "idea" works in a code. But don't really understand what it can be used for. Like common errors you might get if you don't do something this way.	,	Always or nearly always	,	Always or nearly always	,	About right	,	The assignment. They are directly linked to the topic of the week and allow me to practice what i have learned and allows me to see issues I could come across.	,	I can't think about anything but it would be nice as i said above that there was little summary on what he learned and how it can be used. As sometimes with the lecture i'm focused on trying to see how it works and i miss out on how it can be used and how to make sure the syntax is correct.(I would find this out on assignments.                                                                                             
3536298276	,	59568092	,	10-22-2014	,	10-22-2014	,	206.87.160.32	,		,		,		,		,	Neutral	,	It would be good if we can have the code examples you do in class uploaded to course spaces.	,	Less than half the time	,	More than half the time	,	A bit too fast	,		,	Please upload the code examples you do in class to course spaces so it can be used as reference.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
3536279132	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.179.119	,		,		,		,		,	Like somewhat	,		,	Always or nearly always	,	Never or almost never	,	A bit too fast	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
3536255337	,	59568092	,	10-22-2014	,	10-22-2014	,	142.104.73.4	,		,		,		,		,	Neutral	,		,	Always or nearly always	,	Always or nearly always	,	About right	,	she always answers all the questions in a way that we can understand, she explains very well the lessons and provides us with all the materials.	,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
3536179482	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.178.119	,		,		,		,		,	Like strongly	,		,	Always or nearly always	,	Always or nearly always	,	A bit too slow	,	Good about taking time to answer questions in class and on the assignment forums.	,	Allow less time for students to attempt practise questions in class so there is time for more examples. Excessive time is given for each individual question.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
3536158815	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.164.49	,		,		,		,		,	Dislike somewhat	,	I don't think it is the best technique to approach. I feel like I am having to learn everything on my own without the help of the prof. I would prefer more of a lecture on a topic so that we can work on problems either in labs or on our own.	,	More than half the time	,	More than half the time	,	A bit too fast	,	Not much unfortunately. Like I said before, this is not really helping me. It is making class not important for me because I feel I have better things to work on than attending lectures where we are only working on problems and not an actual lecture.	,	Make the class more of a lecture rather than problem solving. I think many students would appreciate a lecture more than the problems.                                                                                                                                                                                                            
3536099372	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.129.45	,		,		,		,		,	Like strongly	,		,	Less than half the time	,	More than half the time	,	About right	,	Answering questions often	,	Talk a little more about those universal assignment problems and give some hint on how to solve them in class.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
3536070578	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.152.145	,		,		,		,		,	Neutral	,		,	Never or almost never	,	Less than half the time	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
3536046594	,	59568092	,	10-22-2014	,	10-22-2014	,	142.104.41.163	,		,		,		,		,	Dislike somewhat	,	I do agree that problem based learning allows for a better understanding of concepts. I think a mini-lecture prior to the problem solving portion of the class would be beneficial.	,	Less than half the time	,	Always or nearly always	,	About right	,	Problem based learning is an engaging approach and allows us to get familiar with questions that will be presented in exams.	,	Would be nice to have solutions to the lecture problems presented in class as well as assignment solutions. A mini lecture at the beginning of class might be helpful, rather than jumping right into problems.                                                                                                                                                                                                                                                                                                                                 
3536000328	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.147.236	,		,		,		,		,	Like strongly	,	Gives great examples for real problems	,	Never or almost never	,	Never or almost never	,	A bit too slow	,	Answering questions in class clearly and answering "what ifs" with great clarity.	,	Nothing, it's been really good so far.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
3535673587	,	59568092	,	10-22-2014	,	10-22-2014	,	206.87.80.158	,		,		,		,		,	Neutral	,		,	Less than half the time	,	Always or nearly always	,	A bit too fast	,	Doing examples and questions in class	,	Nothing I can think of right now                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
3535656530	,	59568092	,	10-22-2014	,	10-22-2014	,	142.104.73.29	,		,		,		,		,	Like somewhat	,	It's a great idea in theory.  The only problem that I am finding is that on the days that I am too busy to do the readings, it is nearly pointless for me to come to lecture.	,	More than half the time	,	More than half the time	,	A bit too slow	,	I like the flipped approach, and find it really effective on the days that I have done the readings.  Melanie, you are very good at taking time to thoroughly answer questions and you are very knowledgeable.	,	As I said, I like the flipped method in theory.  However, since I have a full course load, there are days where it is inevitable that I am going to miss readings.  It would be helpful if the first 10-15minutes of lecture was spent as a review of the readings, or in a more traditional lecture format so that on those days I could at least benefit slightly from going to class.  Otherwise it is tempting to skip...                                         
3535608116	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.144.92	,		,		,		,		,	Like somewhat	,		,	More than half the time	,	Always or nearly always	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3535271350	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.165.139	,		,		,		,		,	Dislike somewhat	,	While I personally dislike this method, I do think that it is a strong approach if people do the required reading beforehand	,	Never or almost never	,	Never or almost never	,	Way too slow	,		,	Speeding the course up would be the most helpful thing for me, but I am undoubtedly the exception here.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
3535182350	,	59568092	,	10-22-2014	,	10-22-2014	,	216.232.145.67	,		,		,		,		,	Like somewhat	,		,	Always or nearly always	,	Always or nearly always	,	A bit too slow	,	Excellent lecture structure,  incredibly clear expression of ideas.   The only issues I have are an unavoidable result of the population of the course.   I greatly look forward to taking more courses with you.   :)	,	The labs are poorly designed and content poor.  I can cover about 6x as much material in the same time.    I would enjoy having more projects and programs to build,  or maybe an alternative to attending the labs.                                                                                                                                                                                                                                                                                                                                                                                                                    
3534378059	,	59568092	,	10-22-2014	,	10-22-2014	,	96.50.84.78	,		,		,		,		,	Neutral	,		,	Never or almost never	,	Never or almost never	,	About right	,	Creating sample programs in lectures to review programming procedures.	,	Nothing.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
3534376351	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.150.37	,		,		,		,		,	Dislike somewhat	,	I've had this approach used on me before and it did not go well. While I will admit that this is working better than my previous experience I am still somewhat skeptical of it.	,	Never or almost never	,	Less than half the time	,	A bit too slow	,	Creates problems that give us the chance to practice the skills as soon as we learn them.	,	Food. There should be food.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
3534315757	,	59568092	,	10-22-2014	,	10-22-2014	,	108.180.151.11	,		,		,		,		,	Like strongly	,		,	Never or almost never	,	Never or almost never	,	A bit too slow	,	Makes an effort to answer questions by having students ask questions as opposed to just talking.	,	I'm not bored at the pace the classes is currently set at, but I'm doing exceptionally well and am certainly capable of keeping up with a faster pace.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
3534306163	,	59568092	,	10-22-2014	,	10-22-2014	,	216.232.148.114	,		,		,		,		,	Neutral	,		,	Never or almost never	,	Never or almost never	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
3534245275	,	59568092	,	10-22-2014	,	10-22-2014	,	24.108.144.79	,		,		,		,		,	Like somewhat	,		,	More than half the time	,	More than half the time	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3534222069	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.147.241	,		,		,		,		,	Dislike somewhat	,		,	Less than half the time	,	More than half the time	,	A bit too fast	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
3534201545	,	59568092	,	10-22-2014	,	10-22-2014	,	206.87.165.198	,		,		,		,		,	Like somewhat	,	It works very well	,	Always or nearly always	,	Always or nearly always	,	About right	,	I like the synposis of the pre reading in class	,	maybe a ta in the room for time to time to help answer questions when we are working on problems                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
3534197127	,	59568092	,	10-22-2014	,	10-22-2014	,	24.68.37.132	,		,		,		,		,	Neutral	,		,	Never or almost never	,	Never or almost never	,	A bit too fast	,		,	I want to get the solutions after each assignment.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
3534188516	,	59568092	,	10-22-2014	,	10-22-2014	,	154.20.234.4	,		,		,		,		,	Neutral	,		,	Less than half the time	,	More than half the time	,	A bit too slow	,	Taken her time to walk around and help students during the lecture, and going through the problem steps slow enough with explanation for everyone to be  able to comprehend and ask questions when needed.	,	Suggest problems from the text related to the lecture for extra review after the lecture. Or post problems and answers on the connex site for review.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
3534185287	,	59568092	,	10-22-2014	,	10-22-2014	,	206.87.85.70	,		,		,		,		,	Dislike strongly	,	Would like it switched to learning in class and being taught by the teacher.	,	Never or almost never	,	Never or almost never	,	About right	,	examples are good but teaching in class would be best	,	Learning in course, and only mini examples in class.  Difficult examples should be possible incorporated in assignments                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
3534178152	,	59568092	,	10-22-2014	,	10-22-2014	,	96.50.4.47	,		,		,		,		,	Like strongly	,		,	More than half the time	,	Always or nearly always	,	About right	,	Helping me actually understand what's actually happening in each method we learn.	,	Nothing                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
3534178100	,	59568092	,	10-22-2014	,	10-22-2014	,	99.199.0.89	,		,		,		,		,	Like somewhat	,		,	More than half the time	,	Less than half the time	,	A bit too fast	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
3534174723	,	59568092	,	10-22-2014	,	10-22-2014	,	24.108.138.103	,		,		,		,		,	Like strongly	,		,	Always or nearly always	,	Always or nearly always	,	A bit too fast	,	she answers specific questions in a easy and comprehensible way for the whole class. Also the ability to give students time and think about writing a method or class is great.	,	N/A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
3534153559	,	59568092	,	10-22-2014	,	10-22-2014	,	206.87.85.186	,		,		,		,		,	Like strongly	,	I think its very unique and effective but not as effective if the student has little time outside of classes.	,	Always or nearly always	,	Always or nearly always	,	A bit too fast	,	Honestly, by far the best instructor I currently have. Melanie knows how to force that code into our heads, ready for midterms even without studying. The videos are amazing too.	,	perhaps a slower pace, I feel as if keeping up is difficult with other classes i need to deal with. If I fall behind, I need to dedicate entire days to the class to fully understand and most of the time I don't.                                                                                                                                                                                                                                                                                                                                                 
3534143251	,	59568092	,	10-22-2014	,	10-22-2014	,	108.180.119.233	,		,		,		,		,	Like somewhat	,		,	Never or almost never	,	Never or almost never	,	About right	,		,	I would like it if the lecture notes explained things in more detail. (for example, having both problems and solutions rather than just the problems). Sometimes when I miss a lecture, I look at the lecture notes and try the problems, but I have no idea if what I'm doing is right or wrong because there are no sample solutions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
3534118237	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.156.154	,		,		,		,		,	Like somewhat	,		,	Less than half the time	,	Less than half the time	,	A bit too fast	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
3534106801	,	59568092	,	10-22-2014	,	10-22-2014	,	206.87.85.237	,		,		,		,		,	Like somewhat	,		,	Never or almost never	,	Less than half the time	,	About right	,	doing problems during lecture helps when doing extra practice when on my own	,	prepare us with practice questions on what might possibly come up in an exam                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
3534105474	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.178.14	,		,		,		,		,	Like strongly	,	Even if you don't have time to watch the videos or read the chapter, you can still learn it in class which is nice.	,	Always or nearly always	,	Always or nearly always	,	A bit too slow	,	She really makes sure that everyone understands something before moving on to something else	,	It would be nice to have a lab instructor we could understand                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
3534088837	,	59568092	,	10-22-2014	,	10-22-2014	,	206.87.169.100	,		,		,		,		,	Dislike strongly	,		,	More than half the time	,	More than half the time	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
3534083176	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.163.71	,		,		,		,		,	Like somewhat	,		,	More than half the time	,	Always or nearly always	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3534073319	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.172.33	,		,		,		,		,	Like somewhat	,	a little more explanation in class	,	More than half the time	,	Always or nearly always	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
3534046047	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.160.207	,		,		,		,		,	Like somewhat	,		,	Always or nearly always	,	Always or nearly always	,	A bit too slow	,	The way she goes through examples is good, but could probably go faster for me. I know she cannot because not everyone is at the same comprehension level, but she does well with what she has.	,	Better tutorial. My tutorial is almost pointless. My TA sits at the front and goes over one, maybe two examples and doesn't help us with any questions. The examples are almost always the same as the ones we've done in class already.                                                                                                                                                                                                                                                                                                                                                                                                                        
3534045562	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.135.114	,		,		,		,		,	Like strongly	,	As a person who does much better when I get to apply learned knowledge and see how problems are worked out, this method is far better than the usual.	,	More than half the time	,	More than half the time	,	A bit too slow	,	My instructor has taught me everything I know so I mean... That was pretty helpful.	,	Make labs not worth anything. I find they should be completely optional because they don't benefit me in my learning and are a waste of my time for the most part.                                                                                                                                                                                                                                                                                                                                                                                                                                                      
3534039115	,	59568092	,	10-22-2014	,	10-22-2014	,	216.232.152.178	,		,		,		,		,	Neutral	,		,	Never or almost never	,	Never or almost never	,	About right	,	Gone around and helped out students who are having difficulty	,	Go around helping students more often!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
3534021813	,	59568092	,	10-22-2014	,	10-22-2014	,	199.166.228.154	,		,		,		,		,	Neutral	,	As somebody who learns best by doing, it works for me. I like the collaboration that it encourages. Class feels pretty slow sometimes though, and, while using the flipped approach, I don't think that there's a way around this. Might work better for smaller, more directed classes.	,	Less than half the time	,	More than half the time	,	Way too slow	,	Always fully answers questions. Good at engaging the whole class,	,	Explain more of the syntax in the lectures and shorten the time allowed to work on a problem.                                                                                                                                                                                                                                                                                                                                                                                                                 
3534014414	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.167.100	,		,		,		,		,		,		,	Less than half the time	,	More than half the time	,	A bit too fast	,	Walks around during questions and answers people questions when having trouble with the question	,	Go through the examples slower                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
3534012426	,	59568092	,	10-22-2014	,	10-22-2014	,	96.50.40.20	,		,		,		,		,	Dislike somewhat	,		,	Never or almost never	,	Never or almost never	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
3533995719	,	59568092	,	10-22-2014	,	10-22-2014	,	75.157.129.104	,		,		,		,		,	Like strongly	,	I wish more classes did this! Or at least did more problem solving instead of just straight lecture-slide teaching	,	Less than half the time	,	More than half the time	,	A bit too fast	,	Flipped classroom	,	Keep up on additional help. Since thanksgiving, help seems to be a bit less than before                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
3533971493	,	59568092	,	10-22-2014	,	10-22-2014	,	24.108.138.28	,		,		,		,		,	Dislike strongly	,		,	More than half the time	,	Always or nearly always	,	Way too fast	,		,	Slow down when writing code during lecture examples. Really hard for me to keep up on my note taking with how speedy you are at writing code! Thanks!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
3533949223	,	59568092	,	10-22-2014	,	10-22-2014	,	173.183.77.53	,		,		,		,		,	Like somewhat	,		,	More than half the time	,	More than half the time	,	A bit too fast	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
3533945703	,	59568092	,	10-22-2014	,	10-22-2014	,	206.87.167.71	,		,		,		,		,	Like somewhat	,	I think it can be very effective, but, when one sometimes cannot do the reading due to other commitments, he/she would be wasting time during the lecture. I think the flipped approach would work for everyone, if a summary of important concepts and syntax are still introduced at the beginning of the lecture (5~10min).	,	Less than half the time	,	Always or nearly always	,	About right	,	She treats everyone fairly and displays respect for every question/comment. I enjoy programming so much and I love the class, but I feel really sorry that I can't always do the reading BEFORE the lecture, and I wish I could.	,	                                                                                                                                                                                                                                                                                                      
3533944981	,	59568092	,	10-22-2014	,	10-22-2014	,	24.244.23.25	,		,		,		,		,	Like strongly	,	Works well for me, even when I don't do the readings, as things are often explained well enough before the examples. (Not difficult at all to figure out what's going on) I feel the format suits learning a computer language very well	,	Less than half the time	,	Always or nearly always	,	About right	,	Been aproachable , good environment to ask questions in, very attentive & quick to answer questions on the forum	,	Nothing. Really solidly organized course. Lab and lecuter are very well coordinated                                                                                                                                                                                                                                                                                                                                                                                                                         
3533936791	,	59568092	,	10-22-2014	,	10-22-2014	,	173.183.76.76	,		,		,		,		,	Like strongly	,	It's amazing! Instead of getting stuck on practice questions at home,  doing them in class allows us to get the answer straight away and be helped with things we're  stuck in.	,	Always or nearly always	,	Always or nearly always	,	About right	,		,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
3533933987	,	59568092	,	10-22-2014	,	10-22-2014	,	134.87.171.189	,		,		,		,		,	Neutral	,		,	Never or almost never	,	Less than half the time	,	About right	,	...	,	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
